VentaID,Fecha,ProductoID,Producto,Categoria,ClienteID,Cliente,Region,Cantidad,PrecioUnitario,TotalVenta
1,2023-01-01,1,Producto A,Categoria 1,1,Cliente 1,Norte,1,10,10
2,2023-01-02,2,Producto B,Categoria 2,2,Cliente 2,Sur,2,15,30
3,2023-01-03,3,Producto C,Categoria 1,3,Cliente 3,Este,3,20,60
4,2023-01-04,4,Producto D,Categoria 2,4,Cliente 4,Oeste,4,25,100
5,2023-01-05,5,Producto E,Categoria 3,5,Cliente 5,Centro,5,30,150
6,2023-01-06,6,Producto F,Categoria 1,6,Cliente 6,Norte,1,10,10
7,2023-01-07,7,Producto G,Categoria 3,7,Cliente 7,Sur,2,15,30
8,2023-01-08,8,Producto H,Categoria 2,8,Cliente 8,Este,3,20,60
9,2023-01-09,9,Producto I,Categoria 1,9,Cliente 9,Oeste,4,25,100
10,2023-01-10,10,Producto J,Categoria 3,10,Cliente 10,Centro,5,30,150
11,2023-01-11,1,Producto A,Categoria 1,11,Cliente 11,Norte,1,10,10
12,2023-01-12,2,Producto B,Categoria 2,12,Cliente 12,Sur,2,15,30
13,2023-01-13,3,Producto C,Categoria 1,13,Cliente 13,Este,3,20,60
14,2023-01-14,4,Producto D,Categoria 2,14,Cliente 14,Oeste,4,25,100
15,2023-01-15,5,Producto E,Categoria 3,15,Cliente 15,Centro,5,30,150
16,2023-01-16,6,Producto F,Categoria 1,16,Cliente 16,Norte,1,10,10
17,2023-01-17,7,Producto G,Categoria 3,17,Cliente 17,Sur,2,15,30
18,2023-01-18,8,Producto H,Categoria 2,18,Cliente 18,Este,3,20,60
19,2023-01-19,9,Producto I,Categoria 1,19,Cliente 19,Oeste,4,25,100
20,2023-01-20,10,Producto J,Categoria 3,20,Cliente 20,Centro,5,30,150
21,2023-01-21,1,Producto A,Categoria 1,1,Cliente 1,Norte,1,10,10
22,2023-01-22,2,Producto B,Categoria 2,2,Cliente 2,Sur,2,15,30
23,2023-01-23,3,Producto C,Categoria 1,3,Cliente 3,Este,3,20,60
24,2023-01-24,4,Producto D,Categoria 2,4,Cliente 4,Oeste,4,25,100
25,2023-01-25,5,Producto E,Categoria 3,5,Cliente 5,Centro,5,30,150
26,2023-01-26,6,Producto F,Categoria 1,6,Cliente 6,Norte,1,10,10
27,2023-01-27,7,Producto G,Categoria 3,7,Cliente 7,Sur,2,15,30
28,2023-01-28,8,Producto H,Categoria 2,8,Cliente 8,Este,3,20,60
29,2023-01-29,9,Producto I,Categoria 1,9,Cliente 9,Oeste,4,25,100
30,2023-01-30,10,Producto J,Categoria 3,10,Cliente 10,Centro,5,30,150
31,2023-01-31,1,Producto A,Categoria 1,11,Cliente 11,Norte,1,10,10
32,2023-02-01,2,Producto B,Categoria 2,12,Cliente 12,Sur,2,15,30
33,2023-02-02,3,Producto C,Categoria 1,13,Cliente 13,Este,3,20,60
34,2023-02-03,4,Producto D,Categoria 2,14,Cliente 14,Oeste,4,25,100
35,2023-02-04,5,Producto E,Categoria 3,15,Cliente 15,Centro,5,30,150
36,2023-02-05,6,Producto F,Categoria 1,16,Cliente 16,Norte,1,10,10
37,2023-02-06,7,Producto G,Categoria 3,17,Cliente 17,Sur,2,15,30
38,2023-02-07,8,Producto H,Categoria 2,18,Cliente 18,Este,3,20,60
39,2023-02-08,9,Producto I,Categoria 1,19,Cliente 19,Oeste,4,25,100
40,2023-02-09,10,Producto J,Categoria 3,20,Cliente 20,Centro,5,30,150
41,2023-02-10,1,Producto A,Categoria 1,1,Cliente 1,Norte,1,10,10
42,2023-02-11,2,Producto B,Categoria 2,2,Cliente 2,Sur,2,15,30
43,2023-02-12,3,Producto C,Categoria 1,3,Cliente 3,Este,3,20,60
44,2023-02-13,4,Producto D,Categoria 2,4,Cliente 4,Oeste,4,25,100
45,2023-02-14,5,Producto E,Categoria 3,5,Cliente 5,Centro,5,30,150
46,2023-02-15,6,Producto F,Categoria 1,6,Cliente 6,Norte,1,10,10
47,2023-02-16,7,Producto G,Categoria 3,7,Cliente 7,Sur,2,15,30
48,2023-02-17,8,Producto H,Categoria 2,8,Cliente 8,Este,3,20,60
49,2023-02-18,9,Producto I,Categoria 1,9,Cliente 9,Oeste,4,25,100
50,2023-02-19,10,Producto J,Categoria 3,10,Cliente 10,Centro,5,30,150
51,2023-02-20,1,Producto A,Categoria 1,11,Cliente 11,Norte,1,10,10
52,2023-02-21,2,Producto B,Categoria 2,12,Cliente 12,Sur,2,15,30
53,2023-02-22,3,Producto C,Categoria 1,13,Cliente 13,Este,3,20,60
54,2023-02-23,4,Producto D,Categoria 2,14,Cliente 14,Oeste,4,25,100
55,2023-02-24,5,Producto E,Categoria 3,15,Cliente 15,Centro,5,30,150
56,2023-02-25,6,Producto F,Categoria 1,16,Cliente 16,Norte,1,10,10
